,Date,ID,ndc
4623,2022-04-22,MSU16351,1
4624,2022-04-22,MSU16874,1
4625,2022-04-22,MSU16764,1
4626,2022-04-22,MSU16817,1
4627,2022-04-22,MSU16615,4
4628,2022-04-22,MSU16821,1
4629,2022-04-22,MSU16650,1
4630,2022-04-22,MSU16818,1
4631,2022-04-22,MSU16658,1
4632,2022-04-22,MSU16591,1
4633,2022-04-22,MSU16832,1
4634,2022-04-22,MSU16464,1
4635,2022-04-22,MSU16820,4
4636,2022-04-22,MSU16531,1
4637,2022-04-22,MSU16781,2
4638,2022-04-22,MSU15754,1
4639,2022-04-22,MSU16770,1
4640,2022-04-22,MSU16722,1
4641,2022-04-22,MSU16458,1
4642,2022-04-22,MSU16533,1
4643,2022-04-22,MSU16590,1
4644,2022-04-22,MSU16699,1
4645,2022-04-22,MSU16586,1
4646,2022-04-22,MSU16143,3
4647,2022-04-22,MSU15141,1
4648,2022-04-22,MSU16127,1
4649,2022-04-22,MSU15766,1
4650,2022-04-22,MSU16481,2
4651,2022-04-22,MSU16567,1
4652,2022-04-22,MSU15918,5
4653,2022-04-22,MSU16517,1
4654,2022-04-22,MSU16450,1
4655,2022-04-22,MSU16371,1
4656,2022-04-22,MSU16142,2
4657,2022-04-22,MSU16646,1
4658,2022-04-22,MSU16099,2
4659,2022-04-22,MSU16449,1
4660,2022-04-22,MSU16291,1
4661,2022-04-22,MSU16617,1
4662,2022-04-22,MSU05762,1
4663,2022-04-22,MSU16453,1
4664,2022-04-22,MSU16440,1
4665,2022-04-22,MSU16426,1
4666,2022-04-22,MSU16065,1
4667,2022-04-22,MSU16451,1
4668,2022-04-26,MSU16801,2
4669,2022-04-26,MSU16348,2
4670,2022-04-26,MSU16641,1
4671,2022-04-26,MSU16654,1
4672,2022-04-26,MSU16857,1
4673,2022-04-26,MSU16795,1
4674,2022-04-26,MSU16800,1
4675,2022-04-26,MSU16880,2
4676,2022-04-26,MSU16741,1
4677,2022-04-26,MSU16895,2
4678,2022-04-26,MSU16935,1
4679,2022-04-26,MSU16630,1
4680,2022-04-26,MSU16132,1
4681,2022-04-26,MSU15770,1
4682,2022-04-26,MSU16835,2
4683,2022-04-26,MSU16936,2
4684,2022-04-26,MSU16763,1
4685,2022-04-26,MSU16782,2
4686,2022-04-26,MSU16797,1
4687,2022-04-26,MSU16948,1
4688,2022-04-26,MSU16921,1
4689,2022-04-26,MSU16740,1
4690,2022-04-26,MSU16888,1
4691,2022-04-26,MSU16785,1
4692,2022-04-26,MSU16400,1
4693,2022-04-26,MSU16906,1
4694,2022-04-26,MSU16367,1
4695,2022-04-26,MSU16552,2
4696,2022-04-26,MSU16783,3
4697,2022-04-26,MSU16842,2
4698,2022-04-26,MSU16719,3
4699,2022-04-26,MSU16934,2
4700,2022-04-26,MSU16602,2
4701,2022-04-26,MSU16743,1
4702,2022-04-26,MSU16833,4
4703,2022-04-26,MSU16896,2
4704,2022-04-26,MSU16390,2
4705,2022-04-26,MSU16293,2
4706,2022-04-26,MSU16778,2
4707,2022-04-26,MSU16841,2
4708,2022-04-26,MSU16919,2
4709,2022-04-26,MSU16892,4
4710,2022-04-26,MSU16408,1
4711,2022-04-26,MSU16587,2
4712,2022-04-26,MSU16894,2
4713,2022-04-26,MSU16840,2
4714,2022-04-26,MSU16554,1
4715,2022-04-26,MSU16391,1
4716,2022-04-26,MSU16761,2
4717,2022-04-26,MSU16357,1
4718,2022-04-26,MSU17074,2
4719,2022-04-26,MSU16395,2
4720,2022-04-26,MSU16405,1
4721,2022-04-26,MSU16850,2
4722,2022-04-26,MSU16347,4
4723,2022-04-26,MSU16345,1
4724,2022-04-26,MSU17097,1
4725,2022-04-26,MSU16825,1
4726,2022-04-26,MSU16846,3
4727,2022-04-26,MSU16401,2
4728,2022-04-26,MSU16768,2
4729,2022-04-26,MSU16776,1
4730,2022-04-26,MSU16891,2
4731,2022-04-26,MSU16805,1
4732,2022-04-26,MSU16355,1
4733,2022-04-26,MSU16963,2
4734,2022-04-26,MSU16410,2
4735,2022-04-26,MSU16396,1
4736,2022-04-26,MSU16900,4
4737,2022-04-26,MSU15351,1
4738,2022-04-26,MSU16938,1
4739,2022-04-26,MSU16784,1
4740,2022-04-26,MSU16159,2
4741,2022-04-26,MSU16584,1
4742,2022-04-26,MSU16416,1
4743,2022-04-26,MSU16344,1
4744,2022-04-26,MSU16398,1
4745,2022-04-26,MSU16947,1
4746,2022-04-26,MSU17098,1
4747,2022-04-26,MSU16688,1
4748,2022-04-26,MSU16837,1
4749,2022-04-26,MSU16779,2
4750,2022-04-26,MSU16902,2
4751,2022-04-26,MSU16911,1
4752,2022-04-26,MSU16886,1
4753,2022-04-26,MSU16775,2
4754,2022-04-26,MSU16826,1
4755,2022-04-26,MSU16834,1
4756,2022-04-26,MSU15327,2
4757,2022-04-26,MSU16824,2
4758,2022-04-26,MSU16915,2
4759,2022-04-26,MSU16904,2
4760,2022-04-26,MSU16932,2
4761,2022-04-26,MSU16885,1
4762,2022-05-03,MSU16922,1
4763,2022-05-03,MSU16811,1
4764,2022-05-03,MSU16925,1
4765,2022-05-03,MSU16918,1
4766,2022-05-03,MSU17183,1
4767,2022-05-03,MSU17187,1
4768,2022-05-03,MSU17071,1
4769,2022-05-03,MSU16941,1
4770,2022-05-03,MSU16392,1
4771,2022-05-03,MSU16365,1
4772,2022-05-03,MSU17124,1
4773,2022-05-03,MSU16926,1
4774,2022-05-03,MSU17157,2
4775,2022-05-03,MSU17129,1
4776,2022-05-03,MSU12136,1
4777,2022-05-03,MSU16385,1
4778,2022-05-03,MSU16553,1
4779,2022-05-03,MSU17153,2
4780,2022-05-03,MSU17100,1
4781,2022-05-03,MSU17088,2
4782,2022-05-03,MSU16923,1
4783,2022-05-03,MSU16393,1
4784,2022-05-03,MSU17186,1
4785,2022-05-03,MSU15782,1
4786,2022-05-03,MSU17184,1
4787,2022-05-03,MSU15300,1
4788,2022-05-03,MSU16747,1
4789,2022-05-03,MSU17179,2
4790,2022-05-03,MSU17072,1
4791,2022-05-03,MSU16889,1
4792,2022-05-03,MSU17178,1
4793,2022-05-03,MSU17093,1
4794,2022-05-03,MSU17159,1
4795,2022-05-03,MSU16949,1
4796,2022-05-03,MSU16878,1
4797,2022-05-03,MSU17112,1
4798,2022-05-03,MSU17069,1
4799,2022-05-03,MSU17135,1
4800,2022-05-03,MSU17110,1
4801,2022-05-03,MSU15484,1
4802,2022-05-03,MSU17083,2
4803,2022-05-03,MSU17134,1
4804,2022-05-03,MSU17087,1
4805,2022-05-03,MSU17138,1
4806,2022-05-03,MSU17160,1
4807,2022-05-03,MSU17121,2
4808,2022-05-03,MSU17116,1
4809,2022-05-03,MSU17175,1
4810,2022-05-03,MSU15714,2
4811,2022-05-03,MSU16755,1
4812,2022-05-03,MSU17086,1
4813,2022-05-03,MSU17120,1
4814,2022-05-03,MSU17136,1
4815,2022-05-03,MSU17152,1
4816,2022-05-03,MSU17143,1
4817,2022-05-03,MSU17103,1
4818,2022-05-03,MSU17137,2
4819,2022-05-03,MSU16907,1
4820,2022-05-03,MSU16749,1
4821,2022-05-03,MSU15366,1
4822,2022-05-03,MSU16872,1
4823,2022-05-03,MSU10871,1
4824,2022-05-03,MSU16375,2
4825,2022-05-03,MSU16625,1
4826,2022-05-03,MSU16156,1
4827,2022-05-03,MSU17145,1
4828,2022-05-03,MSU17085,1
4829,2022-05-03,MSU16882,1
4830,2022-05-03,MSU17133,2
4831,2022-05-03,MSU17144,1
4832,2022-05-03,MSU16927,1
4833,2022-05-03,MSU17141,1
4834,2022-05-03,MSU17125,1
4835,2022-05-03,MSU16113,1
4836,2022-05-03,MSU16898,1
4837,2022-05-03,MSU16804,1
4838,2022-05-03,MSU16829,2
4839,2022-05-03,MSU17118,2
4840,2022-05-03,MSU17172,1
4841,2022-05-03,MSU17142,2
4842,2022-05-03,MSU16430,3
4843,2022-05-03,MSU16942,1
